MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ASSIS BRASIL,2211,1386,2023,1
BRASILEIA,12171,5242,2023,1
BUJARI,2705,1215,2023,1
CAPIXABA,2736,1320,2023,1
CRUZEIRO DO SUL,38963,17693,2023,1
EPITACIOLANDIA,7960,2866,2023,1
FEIJO,4764,2599,2023,1
JORDAO,163,87,2023,1
MANCIO LIMA,4253,2353,2023,1
MANOEL URBANO,1462,756,2023,1
MARECHAL THAUMATURGO,437,309,2023,1
PLACIDO DE CASTRO,5549,2585,2023,1
PORTO ACRE,4506,2462,2023,1
PORTO WALTER,421,281,2023,1
RIO BRANCO,208232,80838,2023,1
RODRIGUES ALVES,1967,1155,2023,1
SANTA ROSA DO PURUS,238,159,2023,1
SENA MADUREIRA,10461,5268,2023,1
SENADOR GUIOMARD,7888,3197,2023,1
TARAUACA,5764,2766,2023,1
XAPURI,5171,3169,2023,1
AGUA BRANCA,5209,2784,2023,1
ANADIA,3371,1379,2023,1
ARAPIRACA,131073,51550,2023,1
ATALAIA,8280,2094,2023,1
BARRA DE SANTO ANTONIO,2882,984,2023,1
BARRA DE SAO MIGUEL,2498,740,2023,1
BATALHA,4547,2109,2023,1
BELEM,1361,761,2023,1
BELO MONTE,941,541,2023,1
BOCA DA MATA,6313,2528,2023,1
BRANQUINHA,1720,915,2023,1
CACIMBINHAS,2545,1328,2023,1
CAJUEIRO,3407,1492,2023,1
CAMPESTRE,782,176,2023,1
CAMPO ALEGRE,6071,1995,2023,1
CAMPO GRANDE,2843,1831,2023,1
CANAPI,3341,1747,2023,1
CAPELA,2424,947,2023,1
CARNEIROS,1535,857,2023,1
CHA PRETA,1533,911,2023,1
COITE DO NOIA,3330,1995,2023,1
COLONIA LEOPOLDINA,2203,736,2023,1
COQUEIRO SECO,1318,597,2023,1
CORURIPE,15948,6347,2023,1
CRAIBAS,7310,3465,2023,1
DELMIRO GOUVEIA,24973,9461,2023,1
DOIS RIACHOS,3343,1975,2023,1
ESTRELA DE ALAGOAS,3960,2116,2023,1
FEIRA GRANDE,5694,3148,2023,1
FELIZ DESERTO,754,286,2023,1
FLEXEIRAS,1839,668,2023,1
GIRAU DO PONCIANO,10712,5648,2023,1
IBATEGUARA,2678,1248,2023,1
IGACI,6585,3360,2023,1
IGREJA NOVA,5356,3348,2023,1
INHAPI,4998,2988,2023,1
JACARE DOS HOMENS,1119,568,2023,1
JACUIPE,776,329,2023,1
